Sorting Date,Date,From,To,Location,Repository,Publication,Link
03/02/1869,03/02/1869,Charles Warren Stoddard,Walt Whitman,Honolulu,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.01943.html
06/12/1869,06/12/1869,Walt Whitman,Charles Warren Stoddard,"Washington, D. C.","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.01685.html
04/02/1870,04/02/1870,Charles Warren Stoddard,Walt Whitman,San Francisco,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.01944.html
04/23/1870,04/23/1870,Walt Whitman,Charles Warren Stoddard,"Washington, D. C.","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.01686.html
10/07/1871,10/07/1871,John Addington Symonds,Walt Whitman,,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01960.html
01/27/1872,01/27/1872,Walt Whitman,John Addington Symonds,,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 2:158–159.",https://whitmanarchive.org/biography/correspondence/tei/loc.01702.html
02/07/1872,02/07/1872,John Addington Symonds,Walt Whitman,,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01961.html
02/18/1872,02/18/1872,Bram Stoker,Walt Whitman,,," Something in the Blood: The Untold Story of Bram Stoker, the Man Who Wrote ‘Dracula’ by David J. Skal.",
02/25/1872,02/25/1872,John Addington Symonds,Walt Whitman,,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01962.html
12/08/1872,12/08/1872,John Addington Symonds,Algernon Charles Swinburne,,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,
03/06/1876,03/06/1876,Walt Whitman,Bram Stoker,"Camden, NJ","Papers of Walt Whitman (MSS 3829), Clifton Waller Barrett Library of American Literature, Albert H. Small Special Collections Library, University of Virginia"," Something in the Blood: The Untold Story of Bram Stoker, the Man Who Wrote ‘Dracula’ by David J. Skal.",https://whitmanarchive.org/biography/correspondence/tei/uva.00372.html
04/23/1876,04/23/1876,Walt Whitman,Edward Carpenter,"Camden, NJ","The Walt Whitman Collection, Harry Ransom Humanities Research Center, The University of Texas at Austin.",,https://whitmanarchive.org/biography/correspondence/tei/tex.00345.html
04/25/1876,04/25/1876,Walt Whitman,Edward Carpenter,"Camden, NJ",(unknown),"Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:43.",https://whitmanarchive.org/biography/correspondence/tei/med.00444.html
01/23/1877,01/23/1877,John Addington Symonds,Walt Whitman,"Clifton, Bristol","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.04208.html
03/01/1877,03/01/1877,Edward Carpenter,Walt Whitman,York,"Walt Whitman Collection, Special Collections Research Center, Syracuse University Library, Syracuse, N.Y.",,https://whitmanarchive.org/biography/correspondence/tei/syr.00010.html
07/12/1877,07/12/1877,John Addington Symonds,Walt Whitman,"Clifton, Bristol","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.04063.html
09/17/1877,09/17/1877,Edward Carpenter,Walt Whitman,"Brighton, UK","Walt Whitman Collection, Special Collections Research Center, Syracuse University Library, Syracuse, N.Y.",,https://whitmanarchive.org/biography/correspondence/tei/syr.00011.html
09/20/1877,09/20/1877,Edward Carpenter,Walt Whitman,,(unknown),"Horace Traubel, With Walt Whitman in Camden, ed. Horace Traubel (Philadelphia: University of Pennsylvania Press, 1953), 4:205.",https://whitmanarchive.org/biography/correspondence/tei/med.00671.html
10/02/1877,10/02/1877,Walt Whitman,Edward Carpenter,,(unknown),"Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:100.",https://whitmanarchive.org/biography/correspondence/tei/sta.00004.html
10/05/1877,10/05/1877,Walt Whitman,Edward Carpenter,"Camden, NJ",(unknown),"Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:100.",https://whitmanarchive.org/biography/correspondence/tei/duk.00745.html
